ID_Record,Log ID,Time Stamp,User ID,IP Address,Hostname,Log Level,Status,Reference ID,Source,Log Security,Log Security Description
1032,924782808,2016-08-10,U079312,30.179.245.90,qzg7it7hdauc9f7.com,NORMAL,Completed Successfully,R041425,Error Handler,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1022,981513433,2023-09-22,U049518,139.208.253.134,59s9hm3u.com,NORMAL,Queued,R052990,Scheduler,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1006,519594229,2015-07-28,U069245,102.15.158.44,intftsx2q.com,NORMAL,Queued,R074882,Scheduler,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1065,604855104,2015-12-03,U020078,174.36.188.187,yxr9kra64iqwced.com,NORMAL,In Progress,R082069,Application,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1002,195609244,2015-01-14,U077623,28.187.36.6,73ulplnuy.com,DEBUG,Warning,R096588,Network,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1051,532818602,2022-11-12,U017977,224.32.149.202,jk945z5bs77wt.com,DEBUG,Timed Out,R089431,Device,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1014,230085405,2014-06-18,U004954,59.65.254.214,kzcrjpfh.com,NORMAL,Completed Successfully,R080309,System,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1001,489257556,2015-08-03,U069419,84.68.117.145,9fexmzg6j6.com,CRITICAL,Warning,R049436,Security System,Security Policy Update,Logs updates or changes to security policies within the system.
1030,155404525,2016-09-07,U028502,8.24.128.218,9wdzdoo57.com,NORMAL,Pending,R034400,Database,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1016,932369620,2015-07-19,U051620,217.230.117.14,mj0r1di5v94s.com,ERROR,Failed,R059655,Application,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1095,936291972,2011-02-08,U050331,93.114.150.133,rcjr1nvbstj01.com,NORMAL,Completed Successfully,R064120,Scheduler,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1059,120596214,2022-08-07,U035848,182.185.117.237,5aey1c844mdykmh.com,NORMAL,In Progress,R041182,Security System,Security Patch Application,Tracks the application of security patches to the system or software.
1041,172516759,2021-03-04,U044248,255.198.116.236,dmgn0miuxy5veb.com,WARNING,Failed,R062423,Scheduler,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1038,576257559,2014-02-22,U088615,143.200.179.121,vy77e14.com,NORMAL,Pending,R036556,Security System,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1079,817163314,2015-06-03,U048889,92.243.143.113,6n6pg0cwxo.com,NORMAL,Pending,R071883,Application,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1083,786570602,2012-07-30,U044375,48.72.189.49,0b7kn71bchakrsq.com,ERROR,Failed,R072161,Application,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1098,708419548,2016-03-15,U040749,143.54.203.202,1wn8g121h.com,NORMAL,Completed Successfully,R088696,Network,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1004,109487215,2018-07-10,U045218,126.147.63.160,bvp7n0nst10.com,ERROR,Failed,R025932,Application,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1003,430117540,2010-01-14,U040289,61.176.254.83,z3vag48b3h7y.com,NORMAL,Queued,R083317,User,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1050,440184698,2016-04-28,U062156,83.4.17.127,389w5tie.com,NORMAL,Pending,R011003,Application,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1035,472365736,2022-07-30,U020273,12.43.227.167,ctu00gk5lf.com,NORMAL,In Progress,R078168,Scheduler,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1047,679295203,2012-04-02,U014063,128.86.3.166,s04y1q7ygz.com,NORMAL,Pending,R096677,User,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1062,792498254,2013-07-12,U009248,187.28.248.221,exxxzuajhhdgffu.com,NORMAL,Completed Successfully,R043621,Network,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1020,834318738,2019-10-13,U098173,14.2.152.216,3zh46isbz6u2.com,NORMAL,Completed Successfully,R070428,Security System,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1015,657775483,2015-02-10,U086386,239.198.91.201,tpnikffzp86ynu.com,NORMAL,Queued,R005816,Database,Security Policy Update,Logs updates or changes to security policies within the system.
1067,634525053,2020-11-20,U069880,60.230.172.34,uu15xsf8hsp.com,NORMAL,Completed Successfully,R006058,Scheduler,Security Policy Update,Logs updates or changes to security policies within the system.
1021,195369770,2018-10-07,U069878,145.221.173.53,hhyl9i8axtth.com,ERROR,Cancelled,R048430,System,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1018,423726964,2022-03-07,U043914,253.57.97.87,j5ln7ercvg4b.com,WARNING,Timed Out,R073210,System,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1080,271760952,2011-02-04,U071605,233.102.230.25,7r9k8va61uoys.com,ERROR,Timed Out,R095648,User,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1049,561440574,2021-10-09,U083332,188.69.72.21,03rl5fg4w5ri.com,NORMAL,Pending,R004972,System,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1075,310800859,2016-11-13,U056427,214.189.249.165,9gdllbe4q.com,DEBUG,Timed Out,R018034,Scheduler,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1087,220577808,2021-02-03,U053501,227.234.201.224,xule2ebofepf.com,CRITICAL,Failed,R038839,Application,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1009,807723125,2012-08-21,U062103,171.85.240.78,5qh9sq73.com,NORMAL,Completed Successfully,R077688,User,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1053,194392853,2013-07-12,U071152,138.30.29.120,l3tam83mktt5znv.com,NORMAL,Queued,R025578,Application,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1023,112054384,2013-10-06,U002892,48.144.41.248,wrjviwslaf41r.com,NORMAL,Queued,R091297,Device,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1005,271421996,2017-07-04,U056084,103.251.255.75,3cby3ayichspv.com,WARNING,Failed,R058764,Application,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1085,241932422,2021-05-17,U027611,197.207.60.52,5gukqiqtlbc247i.com,NORMAL,Queued,R070744,User,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1073,153861842,2014-06-03,U018642,201.90.16.88,5wgmmpd6jm6.com,ERROR,Failed,R065937,Device,Security Patch Application,Tracks the application of security patches to the system or software.
1036,253593263,2010-09-08,U082607,199.204.175.155,13biety5e3u.com,NORMAL,In Progress,R055456,External Service,Data Breach,Logs incidents where sensitive data is accessed or exposed in an unauthorized manner.
1048,131548629,2015-03-08,U075278,155.65.138.179,x94rs8jyjf2qr77.com,WARNING,Cancelled,R054915,Error Handler,Security Patch Application,Tracks the application of security patches to the system or software.
1058,433913325,2014-04-25,U040056,234.246.29.129,8pta0finbkj3l.com,NORMAL,Completed Successfully,R014771,User,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1045,836737770,2021-01-15,U059578,235.255.228.36,tzavt9r828zz.com,ERROR,Cancelled,R007520,Scheduler,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1033,892122127,2016-06-22,U085810,136.248.91.174,ziell5y.com,NORMAL,Pending,R061104,Security System,User Role Change,"Records changes in user roles, especially changes that affect access privileges."
1027,481706521,2020-07-05,U043489,118.228.71.157,vmbkvf4j2v6vez.com,INFO,Completed Successfully,R068829,Device,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1096,116993006,2022-01-07,U004136,118.253.11.191,8rmr137k4z6e4m1.com,CRITICAL,Warning,R016826,Scheduler,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1076,292070045,2022-07-19,U043746,169.93.3.203,ww6m8sw16zf.com,NORMAL,Pending,R036199,Database,Encryption Status Change,"Logs changes in the encryption status of data, such as enabling or disabling encryption."
1097,637041896,2012-08-04,U032181,4.59.216.88,8hmj6kt1o3h2.com,DEBUG,Timed Out,R096704,Device,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1052,156709640,2014-11-07,U020821,31.43.221.234,s7txjazmo.com,NORMAL,Pending,R074296,Database,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1061,358765896,2010-11-10,U032131,148.44.213.83,h9c8vm34tiwuw.com,NORMAL,Pending,R004142,Database,Security Policy Update,Logs updates or changes to security policies within the system.
1064,721818577,2017-12-26,U068205,124.237.54.191,oqhdzl7gvqmhfjf.com,NORMAL,Queued,R076461,Error Handler,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1069,859733253,2010-09-04,U046291,31.147.72.60,ec5rpts8rh.com,NORMAL,Queued,R021545,Error Handler,Password Change Attempt,"Records attempts to change a password, whether successful or not."
1026,430676888,2014-05-19,U000261,2.46.191.104,es0w7xn6rfjb4.com,NORMAL,Pending,R035080,Application,Firewall Alert,"Logs alerts triggered by the firewall, indicating potential security threats."
1007,848937623,2011-12-17,U087980,157.145.241.180,77r517rp4.com,NORMAL,Queued,R082136,Network,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
1094,732514526,2015-01-13,U048465,70.117.245.125,z1qio267qgm.com,NORMAL,Queued,R015492,Network,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1063,128541535,2013-04-09,U032449,164.64.118.143,k41gxptyb52yrv.com,NORMAL,Queued,R047255,Security System,Suspicious Activity,"Logs activities flagged as suspicious, which could indicate a potential security threat."
1066,259714153,2012-05-28,U012745,42.77.49.140,gy2f3nx5xyz.com,NORMAL,Queued,R015197,Error Handler,Two-factor Authentication Event,"Tracks events related to two-factor authentication, including setup, changes, and authentication attempts."
1039,630492201,2019-11-15,U065583,133.165.118.27,cffw59i.com,WARNING,Cancelled,R090517,Network,Unauthorized Access Attempt,Logs attempts to access the system or data without proper authorization.
1017,533956798,2012-09-12,U052608,223.138.85.28,e7v37a9m0s2q.com,NORMAL,Pending,R010311,Security System,Security Scan,"Records the outcomes of security scans, detailing identified vulnerabilities or anomalies."
