ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category
1032,1032,6PCM,6UBN1077,ACTIVE,Visionary Ingenious Enterprises,DYDB,1996-08-05,1999-10-03,,DMR,2
1022,1022,1LBY,1LBY1022,CLOSED,Creative Dynamic Industries,NOZQ,2013-01-12,2017-10-14,2019-03-29,DMR,0
1006,1006,0COV,8RDG1073,ACTIVE,,XCUT,1997-10-07,2019-06-24,2018-01-15,DMR,5
1065,1065,9AJK,5YLB1090,CLOSED,Diverse Innovative Consulting,NOZQ,2018-04-12,2020-08-06,2019-04-28,QMU,3
1002,1002,5RUV,5RUV1002,ACTIVE,Prime Visionary Enterprises,DYDB,2014-07-26,2020-03-28,,CLL,0
1051,1051,8PCJ,5QGA1023,ACTIVE,Innovative Global Enterprises,ORAY,2005-12-27,2010-11-13,,CLL,3
1014,1014,2NGD,6XVN1072,ACTIVE,Visionary Visionary Group,NOZQ,1992-07-05,2015-08-16,,QMU,4
1001,1001,1AFE,1AFE1001,HISTORY,,ORAY,2007-09-04,2020-11-23,2022-04-09,QMU,2
1030,1030,0EAJ,0EAJ1030,ACTIVE,Visionary Strive Ventures,IBDH,2020-08-04,2021-12-25,2021-05-31,CLL,4
1016,1016,5AFQ,5AFQ1016,ACTIVE,,EDSR,1992-06-30,1997-04-17,,QMU,1
1095,1095,0HSW,0HSW1095,HISTORY,Ultimate Progressive Solutions,SNLR,2019-03-12,2022-09-11,2022-10-19,CLL,4
1059,1059,4WSA,4WSA1059,ACTIVE,Fusion Smart Technologies,ORAY,2016-01-20,2020-08-21,2017-03-05,QMU,4
1041,1041,2PMN,6UBN1077,ACTIVE,Acme Advanced Networks,DYDB,2021-05-15,2023-07-16,2022-11-25,QMU,4
1038,1038,5REH,5REH1038,ACTIVE,Innovative Forward Innovations,IBDH,1999-11-12,2001-06-06,,QMU,2
1079,1079,0QTJ,0EAJ1030,ACTIVE,Epic Innovative Solutions,ORAY,2022-04-05,2023-12-25,2023-01-31,QMU,0
1083,1083,5MKB,5MKB1083,ACTIVE,Innovative Sustainable Dynamics,SNLR,2016-02-18,2019-12-31,,DMR,4
1098,1098,2RPJ,2NGD1014,ACTIVE,Brilliant Dynamic Enterprises,AEWK,1999-12-03,2016-02-09,2001-12-14,DMR,3
1004,1004,2ZDK,1LBY1022,ACTIVE,Global Impactful Consulting,AEWK,2012-03-20,2017-05-05,,DMR,2
