ID_Record,Finance Account,Tax Account ID,Legal Account ID,Transaction ID,Financial Date,Category,Description,Amount,Amount Type,Client Name,Payment Method,Currency,Balance,Budget Code,Approval Status,Reference Number,Comments
1032,7556159,43585314,21799106,T021996,2021-12-16,Employee,Bonus,116682,Checking,Proactive Cutting-Edge Solutions,PayPal,SEK,13412,B071343,Approved,R011607,Annual software licensing fees
1022,8888361,12574526,19164770,T043871,2021-12-16,Other Expenses,Shipping,5382,Checking,Omega Future Innovations,Cash,JPY,42804,B076986,Approved,R093413,Annual software licensing fees
1006,2493894,45427680,13595457,T066469,2017-07-07,Rent,Rent payment,3893,Checking,Tech Power Solutions,Bank transfer,CHF,23450,B051749,Approved,R079136,Quarterly tax payments
1065,7762790,25292260,95821325,T025828,2022-04-03,Software,Data Software,964,Checking,Apex Transformative Solutions,Bank transfer,USD,98566,B052394,Approved,R075405,Employee training and development
1002,3032584,34008755,26464345,T004012,2019-08-28,Travel,Travel reimbursement,7265,Checking,Innovative Tech Solutions,Credit card,USD,97671,B090083,Approved,R045735,Legal consultation fees
1051,7082149,17088705,72491090,T030283,2019-02-26,Marketing,Advertising campaign,9403,Checking,Elite Sustainable Enterprises,Bank transfer,CAD,34008,B001308,Approved,R088794,"Insurance premiums, Monthly cleaning services"
1014,1865695,45427680,91201737,T025202,2020-08-17,Other Expenses,Repairs,4525,Savings,Ultimate Dynamic Dynamics,Credit card,GBP,18528,B095109,Approved,R097663,Transportation and logistics costs
1001,1321815,15965789,64244599,T064523,2022-03-05,Employee,Employee salaries,71820,Savings,Elite Synergy Innovations,Bank transfer,USD,35690,B051874,Approved,R065529,"Online ads, New chairs & desks"
1030,2133074,29510431,76815631,T037830,2010-06-30,Other Expenses,Repairs,9668,Savings,Vibrant Precision Corp,Credit card,USD,41420,B081551,Rejected,R097307,"Monthly rent, For office stationery"
1016,8441524,24286894,12124125,T093009,2019-08-07,Employee,Bonus,123385,Checking,Dynamic Synergistic Technologies,Credit card,USD,23598,B017704,Approved,R073656,Annual subscription
1095,1148237,43329323,34008755,T088393,2014-09-22,Marketing,Advertising campaign,1014,Savings,Tech Ingenious Enterprises,PayPal,NZD,98878,B009947,Pending,R016469,Annual software licensing fees
1059,6158086,52523087,85382826,T061413,2013-03-11,Utilities,Water Bill,2573,Savings,Tech Strive Co,Bank transfer,USD,3438,B023720,Approved,R041241,"Online ads, New chairs & desks"
1041,6315385,87727322,43184921,T083165,2022-11-18,Other Expenses,Repairs,7231,Checking,Strategic Evolve Group,Credit card,EUR,99831,B023970,Approved,R009177,Utilities and maintenance
1038,6818214,53760307,11506798,T083948,2016-11-08,Software,Coding Software,8930,Checking,Alpha First Group,Bank transfer,EUR,77178,B064992,Approved,R069539,Research and development investments
1079,9715241,82454070,11506798,T070239,2020-03-12,Utilities,Water Bill,7249,Checking,Prime Advanced Solutions,Bank transfer,NZD,5275,B051147,Approved,R044004,Conference and event sponsorships
1083,9351953,19064594,26914365,T073321,2017-06-11,Marketing,Advertising campaign,3638,Checking,Pioneer Vision Solutions,Bank transfer,JPY,58594,B063118,Approved,R060659,"Online ads, New chairs & desks"
1098,2490152,36350107,60923251,T015145,2010-09-16,Travel,Travel reimbursement,7002,Savings,Proactive Cutting-Edge Industries,PayPal,SEK,62694,B043356,Approved,R069347,"Technology upgrades, Hardware purchases"
1004,6058233,40145696,82454070,T028343,2017-06-27,Employee,Bonus,60528,Checking,Alpha Global Systems,Bank transfer,USD,69820,B089230,Approved,R089804,Employee training and development
1003,3683764,26260675,60923251,T005016,2015-07-05,Employee,Employee salaries,117432,Savings,Apex First Enterprises,Bank transfer,USD,17733,B025973,Pending,R093134,Annual software licensing fees
1050,8210008,48006750,51264692,T046664,2013-07-25,Travel,Travel reimbursement,4750,Checking,Diverse Strive Solutions,Bank transfer,USD,38148,B080463,Pending,R001816,Team travel expense
1035,4293763,51264692,87727322,T003943,2015-07-02,Marketing,Advertising campaign,850,Checking,Fusion Revolutionary Services,Credit card,SEK,65615,B002512,Rejected,R072566,Marketing campaign expenses
1047,2884028,69532194,34008755,T025591,2021-09-02,Marketing,Annual advertising,9558,Checking,Excellent Synergistic Services,Bank transfer,AUD,99309,B020907,Approved,R094725,Research and development investments
1062,2474888,34008755,51739165,T011454,2017-12-03,Utilities,Electricity bill,559,Savings,Pioneer Transformative Group,Bank transfer,JPY,47694,B043161,Approved,R025239,Marketing campaign expenses
1020,1188349,62449278,31470119,T029420,2010-01-17,Rent,Rent payment,6457,Savings,Omega Precision Networks,Credit card,USD,14508,B011114,Approved,R053325,Legal consultation fees
1015,3678468,48006750,52261465,T019109,2018-04-18,Software,Coding Software,4653,Savings,Epic Vision Dynamics,Cash,SEK,26804,B061940,Approved,R038216,Quarterly tax payments
1067,3217694,11506798,17088705,T014064,2015-07-22,Office,Office Repair,8667,Savings,Ultimate Visionary Networks,Cash,USD,26322,B076126,Rejected,R074475,"Insurance premiums, Monthly cleaning services"
1021,1841591,76860589,98465390,T092267,2012-03-07,Other Expenses,Repairs,664,Checking,Acme Dynamic Innovations,Cash,USD,97564,B018932,Approved,R077534,Utilities and maintenance
1018,3399894,16732730,69532194,T057685,2021-03-22,Travel,Travel reimbursement,132,Checking,Visionary Inspiration Solutions,Bank transfer,USD,76804,B058618,Approved,R058145,"Technology upgrades, Hardware purchases"
1080,1492947,58657194,40013534,T015762,2019-01-01,Rent,Rent payment,898,Savings,Tech First Innovations,Cash,USD,33226,B043995,Approved,R034338,Utilities and maintenance
1049,6217395,34008755,58657194,T033729,2019-08-08,Marketing,Advertising campaign,1216,Checking,Excellent Evolution Enterprises,Bank transfer,USD,9095,B065938,Approved,R085077,Monthly internet
